Stop Code,Stop Name,Latitude,Longitude,Current Cleaning Category,abc_stop_name
6142,Fayetteville St at Tralea Dr (SB),35.95593,-78.907567,C,Fayetteville St at Tralea Dr (SB)
6146,Fayetteville St at Pilot St (NB),35.963849,-78.907069,A,Fayetteville St at Pilot St (NB)
6147,Fayetteville St at Cornwallis Rd (NB),35.960317,-78.910241,C,Fayetteville St at Cornwallis Rd (NB)
6153,Fayetteville Rd at Dunhill Dr (Pine Ridge Center),35.916289,-78.931658,B,Fayetteville Rd at Dunhill Dr (Pine Rid
6154,Roxboro St at Cornwallis Rd,35.9656582,-78.9183735,A,Roxboro St at Cornwallis Rd
6155,Roxboro Rd at Crutchfield St (Duke Regional Hospital),36.038368,-78.898424,C,Roxboro Rd at Crutchfield St Duke Regional
6156,Carver St at Meriwether Dr,36.04361,-78.89153,C,Carver St at Meriwether Dr
6157,Club Blvd at Lindbergh St,36.023083,-78.878771,C,Club Blvd at Lindbergh St
6158,Dowd St at Gurley St (WB),36.000394,-78.891915,C,Dowd St at Gurley St (WB)
6159,Dowd St at Gurley St (EB),36.000316,-78.891527,C,Dowd St at Gurley St (EB)
6160,Dowd St at Hazel St (EB),36.000336,-78.888906,C,Dowd St at Hazel St (EB)
6161,Dowd St at Alston Ave (WB),36.000449,-78.88648,B,Dowd St at Alston Ave (WB)
6162,Duke St at Cobb St,35.989034,-78.908988,C,Duke St at Cobb St
6163,Chapel Hill Rd at W Cornwallis Rd (Yates Baptist Church),35.9734272,-78.9371096,C,Chapel Hill Rd at W Cornwallis Rd (SB2)
6164,University Dr at Shannon Rd (WB),35.966229,-78.954307,B,University Dr at Shannon Rd (WB)
6165,Old Chapel Hill Rd at Garrett Rd (WB),35.949879,-78.96766,C,Old Chapel Hill Rd at Garrett Rd (WB)
6167,Chapel Hill Rd at Colonial Apts (NB),35.970492,-78.938627,A,Chapel Hill Rd at Colonial Apts (NB)
6172,Hardee St at Holloway St,35.99245,-78.865885,B,Hardee St at Holloway St
6177,Lawson St at Sima Ave (WB),35.974569,-78.890915,A,Lawson St at Sima Ave (WB)
6182,Morgan St at Mangum St,35.99747,-78.89833,B,Morgan St at Mangum St
6193,Fayetteville St at Barbee Rd (SB),35.9360803,-78.9086299,C,Fayetteville St MLK Jr. Pkwy (SB)
6196,University Dr at Myra St (EB),35.966524,-78.951709,B,University Dr at Myra St (EB)
6197,Witherspoon Blvd at McFarland Dr (Patterson Place Park-and-Ride),35.9509,-78.989783,B,Witherspoon Blvd at McFarland Dr (Patte
6198,Mt. Moriah Rd at Danziger Dr,35.949503,-78.994395,C,Mt. Moriah Rd at Danziger Dr
6201,Hillandale Rd at Hillandale Elementary,36.05318,-78.93487,C,Hillandale Rd at Hillandale Elementary
6202,Horton Rd at Sugarwood Pl,36.05733,-78.933825,C,Horton Rd at Sugarwood Pl
6203,Horton Rd at Guess Rd (Harris Teeter),36.05737,-78.93069,A,Horton Rd at Guess Rd (Harris Teeter)
6204,Guess Rd at Horton Rd (Walgreens),36.056876,-78.929312,B,Guess Rd at Horton Rd (Walgreens)
6206,Guess Rd at Crystal Lake Rd,36.0497,-78.92945,C,Guess Rd at Crystal Lake Rd
6207,Guess Rd at Bogarde St,36.04375,-78.92957,C,Guess Rd at Bogarde St
6210,Hillandale Rd at Pinetree Ct,36.044061,-78.935233,C,Hillandale Rd at Pinetree Ct
6211,Hillandale Rd at Samuel Dr,36.04822,-78.93616,C,Hillandale Rd at Samuel Dr
6212,Hillandale Rd at Croasdaile Farms,36.050744,-78.935429,C,Hillandale Rd at Croasdaile Farms
6221,Brier Leaf Ln at Stonebrook Terrace,35.90902,-78.7863,C,Brier Leaf Ln at Brier Creek Pkwy
6224,Brier Leaf Ln at Little Brier Creek Ln,35.91134,-78.7859,C,Brier Leaf Ln at Little Brier Creek Ln
6225,Brier Creek Pkwy at Little Brier Creek Ln,35.90927,-78.78484,A,Brier Creek Pkwy at Little Brier Creek
6226,TW Alexander Dr at Glenwood Ave,35.9183079,-78.7865754,A,TW Alexander Dr at Glenwood Ave
6241,Rigsbee Ave at Seminary St,35.99933,-78.89981,B,Rigsbee Ave at Seminary St
6242,Rigsbee Ave at Corporation St (NB),36.001766,-78.899917,C,Rigsbee Ave at Corporation St (NB)
6243,W Geer St at Rigsbee Ave,36.00374,-78.89963,C,W Geer St at Rigsbee Ave
6244,W Geer St at Glendale Ave,36.00376,-78.89647,C,W Geer St at Glendale Ave
6245,Geer St at Glendale Ave,36.00384,-78.89649,C,Geer St at Glendale Ave
6246,Geer St at Rigsbee Ave,36.00382,-78.89951,B,Geer St at Rigsbee Ave
